"index","business","year_founded","country","continent"
"0","Kongō Gumi","578","Japan","Asia"
"1","St. Peter Stifts Kulinarium","803","Austria","Europe"
"2","La Casa de Moneda de México","1534","Mexico","North America"
"3","Casa Nacional de Moneda","1565","Peru","South America"
"4","Mauritius Post","1772","Mauritius","Africa"
"5","Australia Post","1809","Australia","Oceania"
